review_id,Ulasan,model_text,gold_kelas_asli,gold_subclass,kelas_terdeteksi_asli,subclass_terdeteksi
PAKAR-0108,"kalo tidak ada pln mobile, hak nik subsidi saya gakkan ketauan karena ulah oknum. tinggal nunggu token smart biar bisa cek berkala pulsa token lewat pln mobile. terima kasih banyak",kalo tidak pln mobile hak nik subsidi gakkan ketauan ulah oknum tinggal nunggu token smart biar bisa cek berkala pulsa token lewat pln mobile terima kasih banyak,KLASIFIKASI UMUM,3F,"['Feature Error', 'Registration']","['2B', '5D']"
PAKAR-0109,"bang angga dari petugas pln cikupa, pelayanannya ramah dan sangat baik.terima kasih ya bang angga, semoga semua tugasnya lancar dan sukses selalu. aamiin.",bang angga petugas pln cikupa pelayanannya ramah sangat baik terima kasih bang angga semoga semua tugasnya lancar sukses selalu aamiin,KLASIFIKASI SERVICE 020,1I,['Service O2O'],['1A']
PAKAR-0110,menurut saya ya memuaskan dan cepat tanggap jika ada keperluan mengenai kelistrikan,memuaskan cepat tanggap keperluan mengenai kelistrikan,KLASIFIKASI SERVICE 020,1I,[],[]
PAKAR-0111,"aplikasinya bagus,cuman tuk daftar kwh baru, bikin rumit dengan adanya nidi,",aplikasinya bagus cuman tuk daftar kwh baru bikin rumit adanya nidi,KLASIFIKASI FEATURE DESIGN,4B,[],[]
PAKAR-0112,payah aplikasi lamban kalo pembayaran cepet kalo pengaduan lamban,payah aplikasi lamban kalo pembayaran cepet kalo pengaduan lamban,KLASIFIKASI SERVICE 020,1B,['Feature Error'],['2B']
PAKAR-0113,"saya membuat pengaduan sampai ketiga kali, terkait nominal tagihan yang tidak sesuai, nominal tagihan berdasarkan catatan meteran oleh petugas, membuat tagihan saya menjadi kali lipat lebih. setelah dicek, meteran kami normal, dan tidak ada masalah, berarti kesalahan catat, tapi kenapa nominal tagihannya tidak dirubah.",membuat pengaduan ketiga kali terkait nominal tagihan tidak sesuai nominal tagihan berdasarkan catatan meteran petugas membuat tagihan menjadi kali lipat lebih dicek meteran normal tidak masalah berarti kesalahan catat nominal tagihannya tidak dirubah,KLASIFIKASI SERVICE 020,1D,['Service O2O'],['1A']
PAKAR-0114,terima kasih pelayanan gangguan cepat,terima kasih pelayanan gangguan cepat,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0115,"listrik di perum permata nusa indah cibitung sering banget down, komputer udah kena yang rusak total, komplen via aplikasi kaga asa respon sama sekali, ini bisa kaga si dimintain ganti kerugian",listrik perum permata nusa indah cibitung sering banget down komputer udah kena rusak total komplen via aplikasi kaga asa respon sama sekali bisa kaga si dimintain ganti kerugian,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0116,"vendor pemasangan instalasi atas nama pt manggala indo perkasa sangat tidak profesional. biaya instalasi di luar biaya penyambungan sampai rp. . , namun vendor ini tidak bekerja apa apa. pasang mcb pun harus kita sendiri. mereka cuma datang, cek pergi. mending pln take down aja mereka dari vendor.",vendor pemasangan instalasi atas nama pt manggala indo perkasa sangat tidak profesional biaya instalasi luar biaya penyambungan rp vendor tidak bekerja apa apa pasang mcb sendiri cuma datang cek pergi mending pln take down vendor,KLASIFIKASI SERVICE 020,1D,['ListriQu'],['7A']
PAKAR-0118,"pembelian lemari saya di aplikasi pln mobile sampai saat ini belum saya terima. saya melakukan pembelian di tanggal mei . tidak ada menu untuk ajukan complain atau pembatalan pesanan. dari pln mobile tidak ada otomatis batal jika pesanan sudah berapa hari tidak sampai. dan saat ini nomor saya diblokir oleh penjual. update tanggal juni sampai saat ini masih belum ada penyelesaian atas kasus saya ini, belum ada refund ke saldo pln mobile saya. tindak lanjut dari pln tidak ada",pembelian lemari aplikasi pln mobile belum terima melakukan pembelian tanggal mei tidak menu ajukan complain pembatalan pesanan pln mobile tidak otomatis batal pesanan berapa hari tidak nomor diblokir penjual update tanggal juni belum penyelesaian atas kasus belum refund saldo pln mobile tindak lanjut pln tidak,KLASIFIKASI UMUM,3D,['Feature Error'],['2C']
PAKAR-0119,"pln mobile sangat membantu kita untuk mengenal seputar program yang ditawarkan oleh pln,seperti tambah daya,pasang baru,diskon dan pembelian pulsa listrik semua ada di dalam aplikasi pln mobile. pln mobile memang mantep",pln mobile sangat membantu mengenal seputar program ditawarkan pln tambah daya pasang baru diskon pembelian pulsa listrik semua aplikasi pln mobile pln mobile memang mantep,KLASIFIKASI UMUM,3A,"['Feature Error', 'Service O2O', 'Umum']","['1C', '2C', '3B']"
PAKAR-0120,kabel listrik terlalu pendek. apakah.bisa diganti ? dikenakan biaya atau free ?,kabel listrik terlalu pendek bisa diganti dikenakan biaya free,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0121,"sering gangguan iconnect nya , jangkauannya kurang luas jangan berharap banyak",sering gangguan iconnet jangkauannya kurang luas jangan berharap banyak,KLASIFIKASI ICONNET,6B,['Feature Design'],['4P']
PAKAR-0122,"ini saya bicara tentang koneksinya memang oke saya pasang di toko saya itupun dngn penuh perjuangan saya telepon sana sini buat request, pelayanan operator iconnet saya saya jelek,plat merah selalu seperti ini, di rumah saya sampai skrg tidak bisa pasang icconet, dan sudah telepon sana sini tetap tidak di tanggapi. beda banget sama yang swasta, daftar, cek lokasi, walau belum trcover langsung tarik kabel dan lain lain , pelanggan duduk manis. jreng internet trpasang. harus sabar sama plat merah. tidak punya rasa memiliki.",bicara koneksinya memang oke pasang toko itupun dngn penuh perjuangan telepon sana sini buat request pelayanan operator iconnet jelek plat merah selalu rumah skrg tidak bisa pasang icconet telepon sana sini tetap tidak tanggapi beda banget sama swasta daftar cek lokasi belum tercover langsung tarik kabel pelanggan duduk manis jreng internet trpasang sabar sama plat merah tidak punya rasa memiliki,KLASIFIKASI ICONNET,6B,['Feature Design'],['4P']
PAKAR-0123,praktis dan efisien untuk mengecek tagihan listrik qt,praktis efisien mengecek tagihan listrik qt,KLASIFIKASI FEATURE DESIGN,4H,[],[]
PAKAR-0124,"aplikasinya sih baik tapi saran aja. saran saya untuk kedepannya dari segala jenis pengaduan dikenakan tarif biaya aja, mungkin itu bisa membuat para teknisi pln bisa bergerak respon dengan cepat",aplikasinya baik saran saran kedepannya segala jenis pengaduan dikenakan tarif biaya mungkin bisa membuat teknisi pln bisa bergerak respon cepat,KLASIFIKASI FEATURE DESIGN,4K,[],[]
PAKAR-0125,"aplikasi dengan fitur yang lengkap untuk melakukan pengaduan, pengecekan, dan pambayaran tagihan",aplikasi fitur lengkap melakukan pengaduan pengecekan pambayaran tagihan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0126,iconnet tidak jelas. saya mau berlangganan bukan mau nyuri. tapi justru nggak di lakukan pemasangan.,iconnet tidak jelas mau berlangganan bukan mau nyuri justru lakukan pemasangan,KLASIFIKASI ICONNET,6A,['Feature Design'],['4P']
PAKAR-0127,setelah saya telpon virtual untuk keluhan mati lampu di beri kode laporan tapi sayang di aplikasi tidak bisa di tracking hasilnya bagaimana mohon di perbaiki lagi,telpon virtual keluhan mati lampu beri kode laporan sayang aplikasi tidak bisa tracking hasilnya bagaimana mohon perbaiki,KLASIFIKASI FEATURE DESIGN,4D,['Service O2O'],['1A']
PAKAR-0128,daftar pakai id indonesia setelah berhasil daftar id terganti milik orang malaysia,daftar pakai id indonesia berhasil daftar id terganti milik orang malaysia,KLASIFIKASI REGISTRATION,5E,[],[]
PAKAR-0129,"kecewa. petugas belum ada tapi laporan sudah menyala? , ini yangbsalah aplikasi atau petugasnya?",kecewa petugas belum laporan menyala yangsalah aplikasi petugasnya,KLASIFIKASI SERVICE 020,1E,['Service O2O'],['1A']
PAKAR-0130,mau melapor susah banget. hilangkan id pelanggan. cukup pick lokasi dan photo kejadian.,mau melapor susah banget hilangkan id pelanggan cukup pick lokasi photo kejadian,KLASIFIKASI FEATURE DESIGN,4E,['Feature Error'],['2G']
PAKAR-0131,"kalau pasang baru kok nggak ada yang watt ya. minimal , kalau buat kost atau kontrakan segitu terlalu tinggi bebannya",pasang baru watt minimal buat kost kontrakan segitu terlalu tinggi bebannya,KLASIFIKASI FEATURE DESIGN,4B,['Service O2O'],['1C']
PAKAR-0132,"respon nya dah bagus.tapi sayang dan amat sayang tidak diimbangi dengan pelayanan di lapangan, tanggal jan saya ada trouble listrik padam hanya rumah saya, saya lapor mulai jam . wib, kata sebentar lagi ada petugas, sampai jam . petugas belum datang, saya lapor lagi kata sudah dikoordinasikan dengan petugas lapangan.namun sampai pukul . wib petugas lapangan tidak ada.sy lihat di fitur riwayat pengaduan di hari dan tanggal yang sama jam . listrik menyala.nah lho.",respon dah bagus sayang sayang tidak diimbangi pelayanan lapangan tanggal jan trouble listrik padam rumah lapor mulai jam wib kata sebentar petugas jam petugas belum datang lapor kata dikoordinasikan petugas lapangan pukul wib petugas lapangan tidak saya lihat fitur riwayat pengaduan hari tanggal sama jam listrik menyala lho,KLASIFIKASI SERVICE 020,1E,['Service O2O'],"['1A', '1F']"
PAKAR-0133,"aplikasinya hoax karena tidak sesuai kenyataan. saat saya melakukan pengaduan, hasil laporan terselesaikan dalam waktu menit. kenyataannya listrik hidup jam setelah laporan. tolong kinerja petugas pln diperbaiki supaya tidak mengecewakan pelanggan. pelanggan aja telat bayar didenda, kok petugas pln tidak timbal balik. coba dicek lagi aplikasi mobile pln kalau kita melakukan pengaduan automatis ada id pelanggan kita. jadi, soal menyebutkan id pelanggan konsumen tidak perlu diajari.",aplikasinya hoax tidak sesuai kenyataan melakukan pengaduan hasil laporan terselesaikan waktu menit kenyataannya listrik hidup jam laporan kinerja petugas pln diperbaiki tidak mengecewakan pelanggan pelanggan telat bayar didenda petugas pln tidak timbal balik coba dicek aplikasi mobile pln melakukan pengaduan automatis id pelanggan soal menyebutkan id pelanggan konsumen tidak perlu diajari,KLASIFIKASI SERVICE 020,1E,"['Feature Error', 'Service O2O']","['1A', '2G']"
PAKAR-0135,pengaduan ndk di tangapain dengan cepat .cari lokasi maps yang burik tolong yang serius bikin aplikasi kasian costamer .lagi ngalami kendala butun perbaikan dengan cepat tidak kayak pas manual kayak dulu sehari pengaduan langsung tanggapain sekarang lama semenjak pak sistem online ini .,pengaduan ndk tangapan cepat cari lokasi maps burik serius bikin aplikasi kasian costamer ngalami kendala butun perbaikan cepat tidak kayak pas manual kayak dulu sehari pengaduan langsung tanggapan sekarang lama semenjak pak sistem online,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0136,"listrik saya padam padahal tetangga nyala,sudah laporan ,ditracking sudah selesai nyala,padahal kenyataannya belum ada petugas yang datang. .katanya ditangani sebelum jam,pdahal sekarang sudah jam. tolong diperbaiki aplikasinya,karena tidak sinkron tracking di aplikasi dengan kenyataannya.",listrik padam padahal tetangga nyala laporan ditracking selesai nyala padahal kenyataannya belum petugas datang katanya ditangani jam pdahal sekarang jam diperbaiki aplikasinya tidak sinkron tracking aplikasi kenyataannya,KLASIFIKASI SERVICE 020,1E,['Service O2O'],['1A']
PAKAR-0138,"ternyata benar komentar sebelumnya, menu riwayat pengaduan status telah selesai dan menyala, padahal nyatanya belum ada petugas dari pln yang datang, sebenarnya tidak masalah ketika laporan di terima saat dini hari dan akan di perbaiki pagi harinya, yang penting di riwayat pengaduan sesuai, lah ini di riwayat pengaduan status selesai dan menyala tapi tidak sesuai kenyataan lapangan. ini yang ku alami dan nyata",ternyata benar komentar sebelumnya menu riwayat pengaduan status selesai menyala padahal nyatanya belum petugas pln datang sebenarnya tidak masalah laporan terima dini hari perbaiki pagi harinya penting riwayat pengaduan sesuai riwayat pengaduan status selesai menyala tidak sesuai kenyataan lapangan ku alami nyata,KLASIFIKASI SERVICE 020,1E,['Service O2O'],['1A']
PAKAR-0139,"aplikasi muter tok, padahal hp saya baru.",aplikasi muter tok padahal hp baru,KLASIFIKASI FEATURE ERROR,2A,[],[]
PAKAR-0140,"antara report status di app ini dengan kenyataan dilapangannya berbeda. di app tertulis selesai dikerjakan listrik nyala. padahal aktual di lapangannya belum ada petugas pun datang ke rumah. jangan membuat report jika tidak sesuai dengan kenyataan. sudah jam sejak membuat laporan ke call center sampai saat ini belum ada petugas yang datang listrik dirumah masih mati, tapi anehnya dilaporannya sudah selesai. saat di tracking petugas pun, tertulis jaraknya km. lokasi di bogor. terima kasih",report status app kenyataan dilapangannya berbeda app tertulis selesai dikerjakan listrik nyala padahal aktual lapangannya belum petugas datang rumah jangan membuat report tidak sesuai kenyataan jam sejak membuat laporan call center belum petugas datang listrik dirumah mati anehnya dilaporannya selesai tracking petugas tertulis jaraknya km lokasi bogor terima kasih,KLASIFIKASI SERVICE 020,1E,['Service O2O'],['1A']
PAKAR-0141,tlong untuk pengaduan yang benar dan real seperti dilapangan. jgn bohong. kasihan customer kalau kami telat juga anda pln denda kan. tlong hak dan kewajiban dijalankan. terima kasih.,tlong pengaduan benar real dilapangan jgn bohong kasihan customer telat pln denda kan tlong hak kewajiban dijalankan terima kasih,KLASIFIKASI SERVICE 020,1I,[],[]
PAKAR-0142,sudah pusing seharian cari struk yang hilang tyt sangat terbantu dengan adanya aplikasi pln mobile,pusing seharian cari struk hilang tyt sangat terbantu adanya aplikasi pln mobile,KLASIFIKASI FEATURE DESIGN,4H,['Feature Error'],['2C']
PAKAR-0143,"aplikasi milik negara kok ecek gini ya,saya kepingin tahu anggaran buat aplikasi ini.tidak layak sekali untuk sekelas bumn.",aplikasi milik negara ecek gini kepingin tahu anggaran buat aplikasi tidak layak sekali sekelas bumn,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0144,tidak usah di download. aplikasi tidak smpurna. layanan chatnya tidak bisa menyelesaikan masalah. masa minta info daya dll. harus cek di kantornya.,tidak usah download aplikasi tidak smpurna layanan chatnya tidak bisa menyelesaikan masalah masa minta info daya cek kantornya,KLASIFIKASI FEATURE DESIGN,4G,[],[]
PAKAR-0145,udah migrasi user tapi ndk bisa masuk bagaimana ya aplikasi pln ini? tolong diperbaiki lagi,udah migrasi user ndk bisa masuk bagaimana aplikasi pln diperbaiki,KLASIFIKASI REGISTRATION,5A,['Service O2O'],['1C']
PAKAR-0146,"cs selalu sibuk, atau malas",cs selalu sibuk malas,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0147,"saya heran, ini aplikasi milik bumn, tapi kualitasnya jauh dibawah aplikasi lainnya, sering macet, fitur chat yang tidk ada kolom membalas chat., promo rupiah admin yang tidak bisa diakses, haris login setiap habis membuka aplikasi lain",heran aplikasi milik bumn kualitasnya jauh dibawah aplikasi lainnya sering macet fitur chat tidk kolom membalas chat promo rupiah admin tidak bisa diakses haris login habis membuka aplikasi,KLASIFIKASI FEATURE ERROR,2C,"['Registration', 'Umum']","['3B', '5A']"
PAKAR-0148,respon via operator bagus. ketika ada keluhan akan segera di sampaikan ke upl terkait. di cek ke upl terkait tidak ada laporan dari pusat. jika di sistem tidak bisa sesuai seperti kenyataan. mending di kembalikan seperti dulu. langsung laporan upl terdekat. petugas pln langsung ke tkp. coba telat bayar sehari saja bayarnya. pasti langsung di putus aliran listriknya.,respon via operator bagus keluhan segera sampaikan upl terkait cek upl terkait tidak laporan pusat sistem tidak bisa sesuai kenyataan mending kembalikan dulu langsung laporan upl terdekat petugas pln langsung tkp coba telat bayar sehari bayarnya langsung putus aliran listriknya,KLASIFIKASI SERVICE 020,1H,['Service O2O'],['1A']
PAKAR-0149,"pak tadi sekitar jam ada orang pln ke tempat kita dak melakukan penggantian meteran listrik token, selesai di ganti token saya balik perak dan saya bertanya kok pulsa token saya berkurang kata petugas nya nanti di ganti mas pulsa tapi kok sampe skrng tidak ada pergantian pulsa token saya ya ?",pak tadi jam orang pln tempat dak melakukan penggantian meteran listrik token selesai ganti token balik perak bertanya pulsa token berkurang kata petugas ganti mas pulsa sampe skrng tidak pergantian pulsa token,KLASIFIKASI SERVICE 020,1H,"['Feature Error', 'Service O2O']","['1A', '2B']"
PAKAR-0151,"aplikasi memudahkan kita dalam mengecek pemakaian pulsa,danmemudahkan kita dalam mengendalikan pln prabayar,cek pemakaian,waktu pemadaman,dan lain,",aplikasi memudahkan mengecek pemakaian pulsa danmemudahkan mengendalikan pln prabayar cek pemakaian waktu pemadaman,KLASIFIKASI FEATURE DESIGN,4F,['Service O2O'],"['1A', '1D']"
PAKAR-0152,pelayanan pln mobile cukup baik pengaduan pln,pelayanan pln mobile cukup baik pengaduan pln,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0153,aplikasinya sangat membantu dan cepat,aplikasinya sangat membantu cepat,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0154,"layanan melalui aplikasi yang cepat tanggap, semoga maju terus, pln terbaik",layanan melalui aplikasi cepat tanggap semoga maju terus pln terbaik,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0155,"luar biasa , sangat membantu , terima kasih pln mobile",luar biasa sangat membantu terima kasih pln mobile,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0156,"aplikasi yang sangat membantu sekali, kapan dan dimanapun kita bisa langsung melaporkan keadaan listrik di rumah kita atau pun rumah orang lain",aplikasi sangat membantu sekali kapan dimanapun bisa langsung melaporkan keadaan listrik rumah rumah orang,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0157,dengan adanya pln mobile sangat bermanfaat dan memudahkan bagi pelanggan,adanya pln mobile sangat bermanfaat memudahkan pelanggan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0158,alhamdulillah pelayanan nya mantap cepat.,alhamdulillah pelayanan mantap cepat,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0159,"error untuk yang ke kalinya, setelah pemadaman. dan selalu begitu tidak ada tindak lanjut bagaimana supaya tidak terulang begitu lagi. ketika sudah lapor via wa nunggu sampai jam baru dikasih tau token untuk menghidupkan. ini sudah email belum ada tanggapan, tidak tahu sengaja . atau enggak tidak tahu. ini anak kost sudah banyak yang cari tempat lain gara pln. terima kasih sudah mematikan usaha kami.",error kalinya pemadaman selalu tidak tindak lanjut bagaimana tidak terulang lapor via wa nunggu jam baru dikasih tau token menghidupkan email belum tanggapan tidak tahu sengaja enggak tidak tahu anak kost banyak cari tempat gara pln terima kasih mematikan usaha,KLASIFIKASI FEATURE ERROR,1B,"['Feature Error', 'Service O2O']","['1A', '2B']"
PAKAR-0160,pln mobile semakin mantap,pln mobile semakin mantap,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0161,"aplikasi ini memudahkan semuanya, mantap",aplikasi memudahkan semuanya mantap,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0163,"respon sangat cepat,terimakasih petugas pln aplikasinya sangat membatu sekali",respon sangat cepat terima kasih petugas pln aplikasinya sangat membatu sekali,KLASIFIKASI SERVICE 020,1B,['Service O2O'],['1A']
PAKAR-0165,kwh di rumah saya sudah tahun tertulis periksa kata petugas yang datang ke rumah kwh ya harus di ganti tapi sampai sekarang tidak pernah di ganti,kwh rumah tahun tertulis periksa kata petugas datang rumah kwh ganti sekarang tidak pernah ganti,KLASIFIKASI SERVICE 020,1C,['Service O2O'],['1A']
PAKAR-0166,"aplikasi bagus, terima kasih",aplikasi bagus terima kasih,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0168,kualitas layanan ini sangat top notch! semua masalahku diatasi dalam waktu singkat dan solusi yang diberikan sangat memuaskan.,kualitas layanan sangat top notch semua masalahku diatasi waktu singkat solusi diberikan sangat memuaskan,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0169,pln terbaik bisa di gunakan di setiap saat pkoknya the best,pln terbaik bisa gunakan pkoknya the best,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0170,aplikasi pln baik sekali,aplikasi pln baik sekali,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0171,"aplikasi ini sangat membantu kita,dan permudah kan kita untuk mengselesaikan masalah kelistrikan.",aplikasi sangat membantu permudah kan menselesaikan masalah kelistrikan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0172,semua menyangkut kelistrikan solusinya di pln mobile,semua menyangkut kelistrikan solusinya pln mobile,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0173,untuk urusan listrik pln mobile solusi nya.,urusan listrik pln mobile solusi,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0174,semoga iconnect bisa cpat beres,semoga iconnet bisa cpat beres,KLASIFIKASI ICONNET,6E,['Feature Design'],['4P']
PAKAR-0175,"selalu pembayaran kadaluarsa pas baru mau proses, udah coba pembayaran link aja dan shopee pay, sama aja.baru transaksi udah kadaluarsa",selalu pembayaran kadaluarsa pas baru mau proses udah coba pembayaran link shopee pay sama baru transaksi udah kadaluarsa,KLASIFIKASI FEATURE ERROR,2C,['Feature Error'],['2B']
PAKAR-0176,aplikasinya mantap dan sangat membantu,aplikasinya mantap sangat membantu,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0177,pelayanan cepat tanggap dan sigap,pelayanan cepat tanggap sigap,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0178,setelah di upgrade ke yang baru kok mlh tidak bisa dipakai. perbaikin lagi dong kualitas nya.,upgrade baru mlh tidak bisa dipakai perbaikin kualitas,KLASIFIKASI FEATURE ERROR,2C,[],[]
PAKAR-0179,ok maju terus pantang padam,maju terus pantang padam,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0180,ada masalah saat tambah id pel di titik lokasi tidak bisa,masalah tambah id pelanggan titik lokasi tidak bisa,KLASIFIKASI FEATURE ERROR,2J,['Feature Design'],['4J']
PAKAR-0181,terima kasih dengan ada nya link ini bisa memudah kan kami,terima kasih link bisa memudah kan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0182,langsung jos.siap di tanggapi sama pegawe pln,langsung jos siap tanggapi sama pegawe pln,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0183,pln mobile memberikan kemudahan bagi pelanggan,pln mobile memberikan kemudahan pelanggan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0184,terima kasih atas pelayanan dan promonya,terima kasih atas pelayanan promonya,KLASIFIKASI UMUM,3B,[],[]
PAKAR-0185,aplikasinya mantap sangat membantu,aplikasinya mantap sangat membantu,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0186,pelayanan pengaduan gangguan listrik semakin mudah.,pelayanan pengaduan gangguan listrik semakin mudah,KLASIFIKASI FEATURE DESIGN,4D,['Service O2O'],['1A']
PAKAR-0187,"aplikasi yang sangat membantu,layanan listrik makin mudah dengan pln mobile",aplikasi sangat membantu layanan listrik makin mudah pln mobile,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0188,sangat membantu saya mengecek pulsa listrik kapan selesai,sangat membantu mengecek pulsa listrik kapan selesai,KLASIFIKASI FEATURE DESIGN,4F,[],[]
PAKAR-0189,trmksih pln mobile telah membantu,trmksih pln mobile membantu,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0190,"semenjak pakai aplikasi ini, saya jadi ngk harus susah ke kantor, cukup sekali klik dah kelar urusan listrik dan mobile. terima kasih pln, terima kasih juga pln womena.",semenjak pakai aplikasi ngk susah kantor cukup sekali klik dah kelar urusan listrik mobile terima kasih pln terima kasih pln women,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0191,memudahkan cek biaya tagihan dan pengaduan,memudahkan cek biaya tagihan pengaduan,KLASIFIKASI FEATURE DESIGN,4A,[],[]
PAKAR-0192,"mantap yoo, bisa beli listrik cukup dari sini wak",mantap yoo bisa beli listrik cukup sini wak,KLASIFIKASI FEATURE DESIGN,4A,[],[]
PAKAR-0193,"mantap, aplikasinya memperlancar kita di bidang listrik",mantap aplikasinya memperlancar bidang listrik,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0194,"aplikasi sangat membantu kita untuk bertransaksi,fiturnya lengkap",aplikasi sangat membantu bertransaksi fiturnya lengkap,KLASIFIKASI FEATURE DESIGN,4A,[],[]
PAKAR-0195,aplikasi pln mobile ini sangat membantu dalam hal aktifasi notifikasi pln terima kasih,aplikasi pln mobile sangat membantu aktifasi notifikasi pln terima kasih,KLASIFIKASI FEATURE DESIGN,4C,['Feature Error'],['2C']
PAKAR-0196,aktif di aplikasi pln mobile,aktif aplikasi pln mobile,KLASIFIKASI UMUM,3A,['Feature Error'],['2C']
PAKAR-0197,mudah dan cepat atasi nganguan listrik,mudah cepat atasi nganguan listrik,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0198,aplikaai dapat mempermudah keperluan listrik,aplikaai mempermudah keperluan listrik,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0199,aplikasi pln mobile ini sangat membantu pelanggan terutama terkait keluhan dan pelayanan pln,aplikasi pln mobile sangat membantu pelanggan terutama terkait keluhan pelayanan pln,KLASIFIKASI FEATURE DESIGN,4D,['Feature Error'],['2C']
PAKAR-0200,"mantap. bintang aplikasi best bangett. masih nerima pengaduan meski udah jam malam, keren terima kasih pln indonesia",mantap bintang aplikasi best bangett nerima pengaduan meski udah jam malam keren terima kasih pln indonesia,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0202,trmakish ni sangat memudahkan saya untuk mtode pmbayaran listrik,trmaksih ni sangat memudahkan mtode pmbayaran listrik,KLASIFIKASI FEATURE DESIGN,4A,[],[]
PAKAR-0203,terima info layanan pln,terima info layanan pln,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0204,"mantap playanan nya fast respon, nunggu bbrpa mnit langsung di tanganin",mantap playanan fast respon nunggu bbrpa mnit langsung tanganin,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0205,sangat bermanfaat dan banyak hadiahnya,sangat bermanfaat banyak hadiahnya,KLASIFIKASI UMUM,3E,[],[]
PAKAR-0206,pln terus makin jaya,pln terus makin jaya,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0207,pelayanan parah. mengajukan iconnet berkali kali tidak ditanggapi.,pelayanan parah mengajukan iconnet berkali kali tidak ditanggapi,KLASIFIKASI ICONNET,6B,['Feature Design'],['4P']
PAKAR-0208,"terimakasih, respon pengaduannya cepat, pelayanan",terima kasih respon pengaduannya cepat pelayanan,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0209,untuk layanan pasang baru knapa cuma ada propinsi jawa timur aja banten tidak ada?,layanan pasang baru knapa cuma propinsi jawa timur banten tidak,KLASIFIKASI FEATURE DESIGN,4B,['Service O2O'],['1C']
PAKAR-0210,"pelayanan jasa, call center, dan teknisi sangat cepat dan tangkap. pengaduan serta ulasan langsung ditinjau dan ditindak lanjuti. saran saya, ada baiknya diberikan beberapa tutorial berupa penjelasan terkait penggunaan pln mobile.",pelayanan jasa call center teknisi sangat cepat tangkap pengaduan ulasan langsung ditinjau ditindak lanjuti saran baiknya diberikan beberapa tutorial berupa penjelasan terkait penggunaan pln mobile,KLASIFIKASI FEATURE DESIGN,4E,[],[]
PAKAR-0211,aplikasi sangat mendukun untuk pengaduan pln,aplikasi sangat mendukun pengaduan pln,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0212,"aplikasi ini sangat mambantu sekali,mempermudah transaksi.informatif sekali sangat mambantu keseharian untuk dapat info dari pln",aplikasi sangat mambantu sekali mempermudah transaksi informatif sekali sangat mambantu keseharian info pln,KLASIFIKASI UMUM,3A,['Feature Error'],['2B']
PAKAR-0213,dengan pln mobile semua jadi praktis mudah cepat pelayanan prima,pln mobile semua praktis mudah cepat pelayanan prima,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0214,aplikasi nya bagus. respon nya cepat,aplikasi bagus respon cepat,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0215,juoos sangat bermanfaat dalam pelayanan,juoos sangat bermanfaat pelayanan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0217,mantap dan sangat membantu pelanggan,mantap sangat membantu pelanggan,KLASIFIKASI UMUM,3A,[],[]
